region,code_circ,nom_circ,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suf_exprimes,blancs_nombre,blancs_pct,parti,nom_candidat,voix_obtenues,pourcentage,est_elu,page_source
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,DION NESTOR,881,11.03,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,OUEHI FEH BIAYO GISELE EPSE KOFFI,2681,33.58,OUI,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,YAKE EVARISTE,570,7.14,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,HONGNIN EVARISTE,443,5.55,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,RHDP,SERY PASCAL,2339,29.3,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,BLY SEMONDA GISELE,286,3.58,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,SIABA ANTOINE-CONSTANT,66,0.83,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,PDCI-RDA,DAN GONSAN CHARLES VALENTINI,124,1.55,NON,33
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,INDEPENDANT,YAKE GONDO ALFRED,5002,29.43,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,INDEPENDANT,BLEU SOLO MEXIMINE,457,2.69,NON,34
TONKPI,196,"FAGNAMPLEU, GBANGBEGOUINE-YATI, PODIAGOUINE, SANDOUGOU-SOBA, SANGOUINE ET ZAGOUE, COMMUNES ET SOUS-PREFECTURES, MAN, SOUS-PREFECTURE",132,39659,17734,44.72,738,16996,243,1.43,INDEPENDANT,MAHAN DETOH TIA ARMAND,772,4.54,NON,34
